지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
129,2021-01-01,-4.5,-10.7,501,-1,1507,,,,,,0,2.4,180,1359,1.7,200,1401,.5,428,-5.6,85,1114,91.6,4.1,1022.8,1027.8,24,1024.6,1511,1026.1,9.7,.2,1100,.46,2.09,,,,,,7.4,,-.5,-8.9,.9,1.5,1.8,2.7,,,,,,.3,.4,0,
129,2021-01-02,-4.3,-10.1,819,.2,1308,,,,,,,7.7,320,1413,5.5,320,1419,1.5,1292,-9.2,44,1358,69.9,3.1,1026.8,1033.4,2349,1025.6,4,1030,9.7,8.8,1300,1.73,8.13,,,,,,1.6,,-.7,-9.8,1.2,1.6,1.9,2.7,,,,,,.9,1.3,,
129,2021-01-03,-4.6,-10.4,735,0,1344,,,,,,,4.9,340,1,2.8,340,1,1,822,-10.5,50,1103,64.3,2.8,1031.2,1035.7,857,1032.8,30,1034.5,9.7,4.2,1100,1.59,7.51,,,,,,5.3,,-1.2,-11.6,.7,1.2,1.6,2.6,,,,,,.7,1,,
129,2021-01-04,-2.5,-9.1,242,1.7,1434,,,,,,.3,6.2,70,1033,4.4,90,1127,1.4,1235,-8.1,47,1034,66.1,3.4,1027.7,1034.6,52,1027.4,2229,1031,9.7,3.2,1000,1.2,6.44,,,,,,7,,-1.4,-10.9,.6,1.1,1.5,2.4,,,,,,.8,1.1,.3,
129,2021-01-05,-4,-8.2,2028,-.5,4,,,,,,0,8.6,320,1538,6.3,320,1640,2.4,2113,-10.8,41,1013,59.6,2.8,1027.5,1033.7,1049,1028,1,1030.8,9.8,7.4,1300,1.59,8.74,,,,,,3.8,,-2.2,-12.5,.6,1.1,1.4,2.3,,,,,,.9,1.3,0,
129,2021-01-06,-5.3,-9.1,813,-1.5,1504,,,,,,1,14.2,320,2351,10.3,320,2333,2.7,2306,-10.4,44,1434,68.8,2.9,1021.4,1030.4,1,1018.6,2154,1024.7,9.8,8.6,1200,1.87,10.89,,,,,,5.9,,-2,-11.9,.3,.9,1.2,2.1,,,,,,1.1,1.5,1.8,
129,2021-01-07,-10.9,-12.2,2359,-6.7,1,,,,,,.8,12.4,320,1,9.3,320,1,3.9,3345,-15.5,49,1423,69,1.9,1023.6,1029,933,1020.9,1,1027,9.8,4,1300,1.68,8.2,,,,,,8.3,,-.9,-9.7,.4,.8,1.1,2,,,,,,.6,.8,0,
129,2021-01-08,-12.4,-15.4,801,-10.1,1420,,,,,,0,6.1,360,300,3.9,360,308,1.9,1602,-16.6,51,1127,71.6,1.7,1022.5,1027.4,311,1024,1505,1025.9,9.8,8.4,1200,1.93,10.98,,,,,,8.1,,-1,-6.9,.4,.9,1.2,1.9,,,,,,.6,.8,0,
129,2021-01-09,-12.9,-19.7,628,-7.5,1339,,,,,,0,3.8,20,56,2.4,50,123,.8,693,-16.4,42,1304,75.9,1.8,1022.4,1027.5,2226,1024.4,1443,1025.8,9.8,6.8,1200,.64,3.66,,,,,,5.8,,-.9,-6.4,.5,1,1.2,1.9,,,,,,.3,.4,0,
129,2021-01-10,-9.1,-18.7,731,-2.9,1517,,,,,,,3.9,250,1326,2.5,250,1332,.8,680,-14.6,38,1301,66.6,2,1024.9,1030.1,2316,1026.4,1540,1028.3,9.8,7.8,1300,.73,4.59,,,,,,7.9,,-.9,-7.7,.5,1,1.2,1.9,,,,,,.5,.7,,
