지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
236,2013-01-01,-3.8,-9.3,1,3.2,1410,,,,,,8.5,9.1,270,1428,5.8,290,1429,.9,759,-5.5,53,1417,88.1,4.1,1018,1022.1,1,1017.6,637,1019.5,9.7,2.5,,,,,,,,,,,-1.2,-6.4,,,,,,,,,,,,,
236,2013-01-02,-8.5,-16.2,2226,-1.1,9,,,,,,1.5,8,20,1346,4.5,320,318,1.7,1479,-13.5,49,1348,68.6,2.2,1030.1,1036.6,2350,1020.7,1,1031.6,9.8,5.6,,,,,,,,,,,-.8,-3.5,,,,,,,,,,,,,
236,2013-01-03,-12.3,-18.6,802,-5.7,1519,,,,,,,7,320,1523,4.5,320,1532,1.1,912,-16.4,46,1202,73.3,1.7,1036.2,1040.1,934,1036.3,1616,1037.7,9.8,8.6,,,,,,,,,,,-1.2,-4.2,,,,,,,,,,,,,
236,2013-01-04,-12.5,-19.4,548,-2.7,1504,,,,,,,3.7,70,1234,2.2,140,1547,.6,490,-17.1,35,1502,72,1.6,1031.2,1037.1,303,1029.2,2353,1032.8,9.8,8.7,,,,,,,,,,,-1.5,-5.2,,,,,,,,,,,,,
236,2013-01-05,-8.9,-17.4,640,.5,1431,,,,,,,3.3,90,1549,1.9,90,1551,.5,451,-12.5,41,1417,76.8,2.5,1025.5,1029.5,228,1024.5,1432,1026.9,9.8,6.9,,,,,,,,,,,-1.3,-5,,,,,,,,,,,,,
236,2013-01-06,-6.2,-12.5,2350,1.3,1558,,,,,,,3.9,70,1123,2.8,320,1613,.8,682,-10.9,30,1605,72.9,2.7,1024.8,1027.1,506,1025.2,1503,1026.3,9.8,7.2,,,,,,,,,,,-1,-5.2,,,,,,,,,,,,,
236,2013-01-07,-6.2,-12.8,323,2.3,1443,,,,,,,5.3,360,1033,2.5,20,1037,.8,650,-11.8,31,1216,68.8,2.5,1024,1027.9,807,1023.9,1457,1025.5,9.8,7.7,,,,,,,,,,,-2,-11.3,,,,,,,,,,,,,
236,2013-01-08,-5,-11.6,645,2.9,1406,,,,,,,7.5,320,1502,3.9,320,1505,.8,718,-10.6,32,1625,68.4,2.7,1024.5,1028.1,1016,1024.3,1335,1026,9.8,7.7,,,,,,,,,,,-3,-12.9,,,,,,,,,,,,,
236,2013-01-09,-7.2,-13.4,2345,-2.3,1237,,,,,,,8.2,340,1455,5.1,320,1447,1.6,1394,-13.4,37,1423,63.8,2.2,1026.4,1029.2,2316,1026.2,1351,1027.9,9.9,8.3,,,,,,,,,,,-4.4,-10.7,,,,,,,,,,,,,
236,2013-01-10,-9.5,-15.4,734,-.5,1537,,,,,,,6.6,360,1626,3,290,1449,.9,751,-16.2,25,1536,63.5,1.7,1030.1,1033,1043,1029.2,1,1031.6,9.9,8.8,,,,,,,,,,,-5.5,-12,,,,,,,,,,,,,
